system,target,model,cv_r2,cv_rmse,cv_mae,test_r2,test_rmse,test_mae,test_mape_percent,is_best_for_target
AERO,height,MLR_LinearRegression,0.5368733173450219,4.492902285492808,3.5899536348011964,0.4858284176782346,4.5688841293752045,3.6857002460784534,11.949976096253057,False
AERO,height,Ridge_a0.1,0.5556127865779218,4.404931984599589,3.5027204214966754,0.49400610100546205,4.532405410604963,3.644101911055307,11.806605095359595,False
AERO,height,Ridge_a1.0,0.5726665437446149,4.324040396234394,3.383575116342142,0.5192650373435919,4.417829626951228,3.5687058407333545,11.580992041497856,False
AERO,height,Ridge_a10.0,0.5862666177504064,4.260083847472545,3.296938095654081,0.5666625263216634,4.194394089055115,3.370038622638358,10.947147726712151,False
AERO,height,SVR_rbf_C10_eps0.1,0.5961135304541076,4.2020458676886605,3.200798496181418,0.6179791178501318,3.938217164380741,3.1323073433688227,10.509999700988624,False
AERO,height,SVR_linear_C10_eps0.1,0.5985628820356045,4.184049534150891,3.291999346310746,0.49935399312647566,4.508390099890598,3.598354139367361,11.912650009488049,False
AERO,height,RandomForest_200,0.9849122331533234,0.8091305560020224,0.6301699889258073,0.9933108413251339,0.5211249400335838,0.4074062500000073,1.351368155716274,False
AERO,height,ExtraTrees_250,0.993100347689686,0.541082934259512,0.3620656330749281,0.9968319236063293,0.3586360411336117,0.22149999999999181,0.782457098513031,True
AERO,height,GradientBoosting_200,0.9850109178589621,0.8073318817424635,0.5195183802939388,0.9930602328205257,0.5307971220252017,0.40060200742327146,1.4402994711833124,False
AERO,length,MLR_LinearRegression,-0.0772701969037995,13.979125365239973,11.271617103153723,-0.004590978414954039,13.135762242297726,9.772514256382,28.098768501290323,False
AERO,length,Ridge_a0.1,-0.049195945810161255,13.793614327884276,11.105448216126732,0.046639110499999914,12.796444222831227,9.484295446528474,27.53305572600042,False
AERO,length,Ridge_a1.0,-0.009556649155134952,13.527732599729099,10.84906326657685,0.0730456993826657,12.617979110868689,9.404455875302823,27.242681327545164,False
AERO,length,Ridge_a10.0,0.024716544566496784,13.296050566556808,10.645501105251538,0.10565262513216644,12.394064745191601,9.314323161858026,26.875232818774812,False
AERO,length,SVR_rbf_C10_eps0.1,-0.01006157220620707,13.54094793557198,10.648756964920741,0.104825018568101,12.399797997022445,8.638838369084791,24.062114588735568,False
