target,r2,mae,rmse,mape_percent
height,0.9958796973640031,0.284179687499998,0.4107506447803649,0.8640404216109145
length,0.9975623478515601,0.4190624999999782,0.6138840906537515,0.8935713640678509
weight,0.9611049058753371,1.4144999999999999,2.0657887416190457,8.597478608533748
leaves,0.977624024935701,15.642011718749998,19.469245726283045,11.773532117600096
branches,0.9096179849007495,2.709875,4.018777441585936,14.154640334027773
