system,model,test_r2,test_mae,test_rmse
AERO,ExtraTrees_400,-0.4757237765826423,9.923796296296295,12.900200929744381
AERO,RandomForest_400,-0.4983807599146075,10.152777777777779,12.998852967559184
AERO,GradientBoosting_400,-0.42543858535946666,9.673216070013323,12.678509277912756
AERO,Ridge,0.3859093126199904,6.653736536230678,8.321664319825835
DWC,ExtraTrees_400,0.3266950838402768,6.599212962962963,9.031501947658294
DWC,RandomForest_400,0.2981366954249125,7.067361111111112,9.221049546845
DWC,GradientBoosting_400,0.36941566586030616,6.157419814843876,8.740286641973213
DWC,Ridge,0.12396187440672035,7.657509356759582,10.301858747363015
