target,best_model,cv_r2,cv_rmse,cv_mae,model_path,test_r2,test_rmse,test_mae
height,ExtraTrees_300,0.9423596872921531,1.2441871717700288,0.982036458333336,C:\Users\User\OneDrive\Documents\ML\models\height_best_model.joblib,0.8646333889604247,2.6246199442684635,2.086320987654328
length,ExtraTrees_300,0.9874258075332629,1.2894937737587964,1.1396145833333389,C:\Users\User\OneDrive\Documents\ML\models\length_best_model.joblib,0.9301035289257347,3.204097791967935,2.779283950617287
weight,ExtraTrees_300,0.17043272476033586,3.6755814255109716,2.9086458333333334,C:\Users\User\OneDrive\Documents\ML\models\weight_best_model.joblib,0.43919737926164226,8.503224908688269,6.404660493827161
leaves,GradientBoosting_300,0.3673502253493369,41.895178557540724,33.32457902891437,C:\Users\User\OneDrive\Documents\ML\models\leaves_best_model.joblib,0.4686730463043163,102.67337748434718,80.25012039336825
branches,ExtraTrees_300,0.5238985663979278,4.986470847294226,3.935625000000001,C:\Users\User\OneDrive\Documents\ML\models\branches_best_model.joblib,0.07320977746984025,11.170145616169009,8.297407407407407
