target,r2,mae,rmse
height,0.8755248997777716,1.9494918532655503,2.5168184492276033
length,0.9364007992321257,2.6026778235459656,3.0563561970268958
weight,0.45255419253511175,6.291030984400584,8.401352674794644
leaves,0.4686730463043163,80.25012039336825,102.67337748434718
branches,0.4607546225364675,6.404664787413451,8.520426382629685
