target,baseline_r2,systemsplit_all_r2,delta_r2
height,0.8696803478017636,0.8755248997777716,0.005844551976007972
length,0.9321338674232084,0.9364007992321257,0.004266931808917351
weight,0.43919737926164226,0.45255419253511175,0.013356813273469492
leaves,0.4686730463043163,0.39617347028060934,-0.07249957602370694
branches,0.4590930985774053,0.4607546225364675,0.001661523959062161
