system,target,model,cv_r2,cv_rmse,cv_mae,test_r2,test_rmse,test_mae,test_mape_percent,is_best_for_target
DWC,height,MLR_LinearRegression,0.2816299410718182,4.110845534652757,3.474027395269299,0.45102024896456205,3.844906366042048,3.310184496121745,9.810407422944808,False
DWC,height,Ridge_a0.1,0.30730971752644703,4.039169570181549,3.4320265380113835,0.4848784382765329,3.7244527537258154,3.2427344872963637,9.606254002153152,False
DWC,height,Ridge_a1.0,0.32884945772349716,3.9773302743898196,3.381621570239296,0.4941377241654319,3.6908275339003693,3.2273131160469375,9.561721635348349,False
DWC,height,Ridge_a10.0,0.3457407681113311,3.9285044922972516,3.3357370932721486,0.5047769219852194,3.6518088991721047,3.1904915920567816,9.480424118682423,False
DWC,height,SVR_rbf_C10_eps0.1,0.20193406259477772,4.316330266897823,3.5845729803528457,0.43709143515808613,3.893377667048816,3.0303526850925824,9.011432332502737,False
DWC,height,SVR_linear_C10_eps0.1,0.2593805484080473,4.17461776822306,3.3956950989677264,0.4618159291102466,3.806913638477184,3.0846596435601805,9.218092007673052,False
DWC,height,RandomForest_200,0.9216287943909925,1.309448035097159,1.0452474160206815,0.9902773031093131,0.5116829882542132,0.38966406250000823,1.1237003401045762,True
DWC,height,ExtraTrees_250,0.9221911468458325,1.3429635609076545,1.033119158361026,0.9733659617281651,0.8468882644717584,0.6395312499999906,1.7777863591919134,False
DWC,height,GradientBoosting_200,0.9369288041657026,1.1961280345944527,0.9138975875259222,0.9781871964091579,0.7664138590533282,0.5614330759073729,1.661770946715089,False
DWC,length,MLR_LinearRegression,-0.023909164499899254,8.622340403193947,7.111180247507683,0.1999250068690559,7.206510776983533,5.599257742595261,10.379267446195726,False
DWC,length,Ridge_a0.1,0.026668847112383005,8.399338806558498,6.887349313995145,0.2067398628179724,7.175753434973058,5.572996582743196,10.328772949898024,False
DWC,length,Ridge_a1.0,0.05070891782406228,8.290994164837777,6.786321462067911,0.22946835937800758,7.072206461551927,5.491976369575411,10.175170756689305,False
DWC,length,Ridge_a10.0,0.07590617461266347,8.181082326734293,6.7301209735713385,0.2537466245938357,6.959897544192573,5.375853634791066,9.950224070988536,False
DWC,length,SVR_rbf_C10_eps0.1,-0.058735624226272466,8.724524435976967,6.936082614296261,0.20641178481309563,7.177237162312997,4.957707449836702,9.354027492370953,False
DWC,length,SVR_linear_C10_eps0.1,0.07668763524254789,8.1771186372836,6.495215185191932,0.22933530771215427,7.072817032347716,4.933970594098175,9.393977813877964,False
DWC,length,RandomForest_200,0.8784538319060625,2.927539216414059,2.2537373569582737,0.968176422794194,1.437256198075444,1.0139453125000122,1.8364374493463607,False
DWC,length,ExtraTrees_250,0.6397451733363119,5.071622758997919,3.8726533038021187,0.7957956410845787,3.64076121779497,2.609337499999982,4.711440082596812,False
DWC,length,GradientBoosting_200,0.9613680297543917,1.652245596685825,1.230894867297171,0.9864759290221705,0.9369435221082352,0.7354598896640916,1.3658111426494648,True
DWC,weight,MLR_LinearRegression,0.4216889222668542,6.892302015211793,4.919653849435572,0.48973135745209684,5.902017265430033,4.3255080241400945,24.911242836074045,False
DWC,weight,Ridge_a0.1,0.42874076313781445,6.850875472216427,4.890667499183973,0.4910490115313193,5.894392023116742,4.310948661391712,24.737835507240742,False
DWC,weight,Ridge_a1.0,0.44068492327286074,6.783029790591979,4.853988503556828,0.49531925177222225,5.869612142487516,4.305605978770977,24.648400231395232,False
DWC,weight,Ridge_a10.0,0.45830489473633235,6.695131943885823,4.816569425169824,0.5036581045338886,5.82091828732192,4.2723022987647035,24.425188522928813,False
DWC,weight,SVR_rbf_C10_eps0.1,0.5346777919863909,6.3836385230854615,4.159276889342023,0.6228062982476844,5.074383095134365,3.4800870468297047,17.700292469459562,False
DWC,weight,SVR_linear_C10_eps0.1,0.4736217662707962,6.695577891310651,4.719799715052419,0.477816513521788,5.970526113259551,4.423502382672592,25.009681206542243,False
DWC,weight,RandomForest_200,0.8837906504032338,3.15467170965079,2.3077657807308967,0.9073890535591669,2.5143874285052017,1.8403906250000002,11.039858063515528,False
DWC,weight,ExtraTrees_250,0.8033356311848155,3.7331602326156936,2.8205234403839055,0.9196129860379949,2.342577586762069,1.7644375,10.813841160533858,False
DWC,weight,GradientBoosting_200,0.9462481657898616,2.1430224088998058,1.6429911550886143,0.9690053172933398,1.4546035152737842,1.1444063784939857,6.99790993417968,True
DWC,leaves,MLR_LinearRegression,0.6399279910755643,53.763383771476356,38.70236418779955,0.687665344660822,47.87792113938975,33.230990069041134,25.05086835614462,False
DWC,leaves,Ridge_a0.1,0.6458584815048486,53.25697841095789,38.21377475493143,0.6910271738697382,47.61955586369578,32.73156603388341,24.42710449418876,False
DWC,leaves,Ridge_a1.0,0.6479670936691847,53.10438851520964,38.082232567850106,0.6855340537944995,48.04099668835456,33.418278636173454,24.96209074537833,False
DWC,leaves,Ridge_a10.0,0.6511244855648449,52.90275162941202,38.1196966194816,0.6746865867497169,48.86255621249831,34.70122532547509,26.070197195713625,False
DWC,leaves,SVR_rbf_C10_eps0.1,0.5278387357329414,62.11427046299576,42.88031842470418,0.5836323769800202,55.279444915800156,37.76257837169153,26.131057669230806,False
DWC,leaves,SVR_linear_C10_eps0.1,0.6477464456109757,53.267755722037975,38.09532602860251,0.6793290775688443,48.512648863463546,35.03812579343776,25.91879451068605,False
DWC,leaves,RandomForest_200,0.9111610148418762,26.909356668193464,20.03500092284976,0.9601237880278611,17.107326566872597,13.642734375,11.293263266773144,False
DWC,leaves,ExtraTrees_250,0.8265206277493449,36.5631342967136,27.50557548911037,0.9601543847755462,17.100762139448637,13.0226875,11.051084503483082,False
DWC,leaves,GradientBoosting_200,0.9275533694153156,23.769477936339815,17.949745336596674,0.9720770889671816,14.315467790966647,11.0131951942158,9.709735439514617,True
DWC,branches,MLR_LinearRegression,0.6235382629396021,8.172238277721059,6.445007120500468,0.6148839538988451,7.802631293628165,5.908819485251813,32.375717397471035,False
DWC,branches,Ridge_a0.1,0.6513862684689019,7.874017825513786,6.2510114919174145,0.6094798710174967,7.857185204353178,5.995284005549685,33.39748168602872,False
DWC,branches,Ridge_a1.0,0.6586981217150377,7.793170459678071,6.162707572127277,0.6127393348456001,7.824326624289377,5.9493360139572316,33.088036240356196,False
DWC,branches,Ridge_a10.0,0.664457462851365,7.729835423354056,6.048856339196024,0.6184312014444837,7.76661371606813,5.847043876067427,32.1585754857304,False
DWC,branches,SVR_rbf_C10_eps0.1,0.6219744808780777,8.196096083205335,6.184950174040452,0.5989079472079817,7.962827481364135,5.460423838388282,29.081427572615702,False
DWC,branches,SVR_linear_C10_eps0.1,0.6443048660060605,7.957953220245528,5.930064185114755,0.6124173836601983,7.827578346087097,5.313734309912414,26.988477473826332,False
DWC,branches,RandomForest_200,0.8465503678980183,5.228692676711105,3.74531100036914,0.9114686871058012,3.74105187622746,2.4271093749999997,13.45059307397429,True
DWC,branches,ExtraTrees_250,0.8049597413452553,5.885964044661932,4.438857142857143,0.900845213820199,3.9591514873770617,2.5876249999999996,14.816224416929572,False
DWC,branches,GradientBoosting_200,0.8946267125698016,4.29304684747078,3.2831753080681385,0.9096786540027152,3.7786831639875813,2.5879878771774347,13.372862317958518,False
