target,best_model,cv_r2,cv_rmse,cv_mae,model_path,test_r2,test_rmse,test_mae,source_run,baseline_test_r2,improved_test_r2
height,ExtraTrees_300,0.945030845337587,1.2064315166003354,0.9390833333333308,C:\Users\User\OneDrive\Documents\ML\models_improved\height_best_model.joblib,0.8696803478017636,2.5752275074292963,2.0327314814814867,improved,0.8646333889604247,0.8696803478017636
length,ExtraTrees_500_depth16,0.9882578339581426,1.2457619084337117,1.094397916666734,C:\Users\User\OneDrive\Documents\ML\models_improved\length_best_model.joblib,0.9321338674232084,3.1572188597749515,2.7257574074074262,improved,0.9301035289257348,0.9321338674232084
weight,ExtraTrees_300,0.1704327247603358,3.675581425510972,2.9086458333333334,C:\Users\User\OneDrive\Documents\ML\models\weight_best_model.joblib,0.4391973792616422,8.503224908688269,6.404660493827161,baseline,0.4391973792616422,0.4124472721402488
leaves,GradientBoosting_300,0.3673502253493369,41.89517855754072,33.32457902891437,C:\Users\User\OneDrive\Documents\ML\models\leaves_best_model.joblib,0.4686730463043163,102.67337748434718,80.25012039336825,baseline,0.4686730463043163,0.4483896985952231
branches,ExtraTrees_500_depth16,0.5485312140528846,4.815401660259413,3.7591875,C:\Users\User\OneDrive\Documents\ML\models_improved\branches_best_model.joblib,0.1050916691188458,10.976335889337369,8.09562962962963,improved,0.0732097774698402,0.1050916691188458
